stop_id,stop_name,stop_lat,stop_lon,location_type,wheelchair_boarding
STN_KCE,King's Circle,19.0303,72.8572,0,0
STN_KDI,Khardi,19.5855,73.3962,0,0
STN_KDV,Khadavli,19.3486,73.2384,0,0
STN_KHAG,Kharghar,19.0247,73.0678,0,0
STN_KHAR,Khar Road,19.0699,72.8398,0,0
STN_KHPI,Khopoli,18.7844,73.2647,0,0
STN_KILE,Kandivali,19.2045,72.8524,0,0
STN_KJMG,Kanjurmarg,19.1278,72.9348,0,0
STN_KJT,Karjat,18.9103,73.3228,0,0
STN_KLV,Kelve Road,19.6263,72.7981,0,0
STN_KLVA,Kalwa,19.2001,72.9964,0,0
STN_KLY,Kelavli,18.8475,73.2961,0,0
STN_KNDS,Khandeshwar,19.0069,73.0978,0,0
STN_KOPR,Kopar,19.2139,73.0782,0,0
STN_KPHN,Kopar Khairane,19.0969,73.0117,0,0
STN_KSRA,Kasara,19.6528,73.4831,0,0
STN_KYN,Kalyan Junction,19.2364,73.1305,0,0
STN_LWJ,Lowjee,18.7981,73.2725,0,0
STN_MANR,Mansarovar,19.0189,73.0847,0,0
STN_MBQ,Mumbra,19.1906,73.0232,0,0
STN_MDD,Malad,19.1866,72.8488,0,0
STN_MEL,Marine Lines,18.9438,72.8239,0,0
STN_MIRA,Mira Road,19.2814,72.8561,0,0
STN_MLND,Mulund,19.1726,72.9563,0,0
STN_MM,Mahim Junction,19.0406,72.844,0,0
STN_MNKD,Mankhurd,19.0497,72.9328,0,0
STN_MRU,Matunga Road,19.0275,72.8447,0,0
STN_MSD,Masjid,18.9525,72.8383,0,0
STN_MTN,Matunga,19.0287,72.8524,0,0
STN_MX,Mahalaxmi,18.9827,72.8237,0,0
STN_NEU,Nerul,19.0336,73.0175,0,0
STN_NHU,Nahur,19.1554,72.9461,0,0
STN_NIG,Naigaon,19.3517,72.8471,0,0
STN_NRL,Neral Junction,19.0272,73.3197,0,0
STN_NSEV,Nhava Sheva,18.9189,72.9739,0,0
STN_NSP,Nallasopara,19.4178,72.8188,0,0
STN_PBHD,Prabhadevi,19.0069,72.8347,0,0
STN_PDI,Palasdhari,18.8789,73.3175,0,0
STN_PL,Lower Parel,18.9956,72.8306,0,0
STN_PLG,Palghar,19.6974,72.7667,0,0
STN_PNVL,Panvel,18.9892,73.1207,0,0
STN_PR,Parel,19.0084,72.8373,0,0
STN_RABE,Rabale,19.1367,73.0039,0,0
STN_RMM,Ram Mandir,19.1517,72.8493,0,0
STN_RRD,Reay Road,18.9758,72.8436,0,0
STN_SAH,Saphale,19.5786,72.8217,0,0
STN_SHAD,Shahad,19.2558,73.1517,0,0
STN_SHLU,Shelu,19.0628,73.3283,0,0
STN_SIN,Sion,19.0392,72.8624,0,0
STN_SMKR,Shematikhar,18.9322,72.9867,0,0
STN_SNCR,Sanpada,19.0664,73.0117,0,0
STN_SNRD,Sandhurst Road,18.9619,72.8399,0,0
STN_STC,Santacruz,19.0818,72.8402,0,0
STN_SVE,Sewri,18.9994,72.8544,0,0
STN_SWDV,Seawoods - Darave,19.0192,73.0194,0,0
STN_THK,Thakurli,19.2274,73.1009,0,0
STN_TKNG,Tilak Nagar,19.0669,72.8942,0,0
STN_TLA,Titwala,19.3005,73.2081,0,0
STN_TNA,Thane,19.186,72.9759,0,0
STN_TUH,Turbhe,19.0758,73.0167,0,0
STN_ULNR,Ulhasnagar,19.2167,73.1594,0,0
STN_UOI,Umroli,19.7423,72.7601,0,0
STN_URAN,Uran City,18.8772,72.9436,0,0
STN_VDLR,Vadala Road,19.0169,72.8589,0,0
STN_VGI,Vangani,19.0967,73.2986,0,0
STN_VGN,Vangaon,19.8821,72.7562,0,0
STN_VK,Vikhroli,19.1106,72.9284,0,0
STN_VLDI,Vithalwadi,19.2259,73.1444,0,0
STN_VLP,Vile Parle,19.0988,72.8439,0,0
STN_VR,Virar,19.4542,72.8115,0,0
STN_VSD,Vasind,19.4005,73.2662,0,0
STN_VSH,Vashi,19.0644,72.9989,0,0
STN_VTN,Vaitarna,19.5165,72.8291,0,0
STN_VVH,Vidyavihar,19.0798,72.897,0,0
